ik_84_g1_open,kidID
"play basketball, watch tv",9
"play around, hit each other, make each other laugh",10
"play basketball, play video games",11
"talk, watch tv",14
don't know,15
try to get staff to let them ride bikes and watch tv,17
talk,22
"puzzles, go to movies, wal-mart",23
"goof off, video games, talk about shoes, basketball",24
"talk, play around like brothers, video games",25
"talk, talk about how tya gets on their nerves. talk about how they shouldn't put younger kids with older kids. too many differences between age grades.",27
"talk about problems and solve them, ping pong, basketball, sports",28
"basketball, baseball, swim",30
"talk about people, cuss",31
talk,32
talk and laugh,33
"talk, play basketball",34
"talk, swing, swim, walk around campus",35
talk behind other kids in home's backs,36
"go outside, play basketball",37
"tv, games, sports",39
"talking, fun jokes, play football, sports",40
"hang out, play basketball, play sports",41
"play basketball, sports, outdoor stuff",43
"board game, tv, basketball, football",44
talk and play,45
"watch tv, talk",46
talk,47
tj will follow aj around; pick on eachother,48
joke around,49
"play games, basketball",51
"jump on trampoline, play cards, planting flowers",52
"chill in room, talk about if we are going home on the weekend",53
just sit and watch; talk,54
talk; play games,55
"mess around, have fun. video",56
"go to places, ride bikes on trails",59
play board games,60
"play basketball, weight bench, watch movies",61
"play video games, joke around",62
"video games, talk about teenager stuff, watch a movie, sometimes play basketball, do a lot of stuff",63
go swimming go to watch movies play video games,66
go out to eat; play basketball and games,67
play basketball and board games,68
"have fun, joke, talk, cheer each other up",72
talk. hang out when they go somewhere.,76
"stupid stuff, talk about me but not to my face",77
"laugh, joke, play around, play uno",78
play board games and listen to the radio watch movies together and stuff.,81
play basketball. they like video games but i hate them so we don't to that.,83
"play card games, video games, go play basketball, do fun stuff like that, we all get along with each other",84
play video games or paly basketball outside.,85
"they live together (roommates), so i don't know.",86
"talk, watch tv, play basketball, go outside and swing",87
chess,88
"watch heroes, play airhockey, play basketball",89
"everything, play basketball, play video games, listen to music, watch tv, talk, just hang out",91
"just hang out, talk about our problems about the staff, what happened, our point reminders that aren't fair, and we talk about how mean the staff are, you can't tell the staff that you don't like them without getting in trouble, so we talk to each other about it which i think is the better way, but then the staff comes and interrupts us and puts us to work.  we get treated like crap.",92
"talk, play around",93
joke way too much,94
"watch tv, play xbox, play basketball together",95
"cleaning, working, out in the public, play board games, play basketball sometimes",97
"anything, listen to music, just talk",98
"we go to restaurants, play board games, watch movies",99
"do nails, hair, play games, cards",101
laugh and talk about boys together and talk on the phone to each other when they are not here.,102
"hanging in rec room, talking, watching tv",104
"talk, horseplay and get in trouble for it, go outside and play",105
talk,106
"watch tv, horseplay, listen to music, and dance.",107
"talk, sometimes smoke, basically try to hide secrets - try to hide stuff",110
play basketball and video games and hang out and watch tv.,112
they usually play a game and play basketball,113
"play the game, play basketball, watch tv",115
we usually listen to music and talk.,121
"hang out, dance and stuff",122
like if we are at the store and like adrian has money and we don't then she might buy us something. or if we are out or something. we spend a lot of time together.,127
talk,129
play around and play games,132
"watch movies, go into town, do something together like sit and relax and talk, spend time with each other, teaching parents like to spend time with us and we don't mind spending time with them.",133
listening to music.,134
"just talk, laugh and try to keep ourselves happy",136
all kinds of stuff,138
"play basketball, watch tv, and hang out in each others rooms.",142
"play basketball, watch movies, sit in a room and joke, play card games, play monopoly, just chill, eat dinner together, just what brothers do.  we're like a band of brothers.  we argue, but we don't hold grudges, we just go back to being brothers.",143
"talk, watch tv, hang out",144
"we be talking about what we be doing in our home and stuff, and talking about like how like their problems, we compare their problems with mine at home. and basically that be me and that be nathan. and probably walk around and play basketball.",145
"just shoot ball together and we sit at the pavilion, just chillin that's it",146
we just talk about school. we make fun of our peers in the home. we create inside jokes together. and we talk to each other and confide in one another. we sit in the same seats or next to each other. and we help each other with homework.,147
"talk about people, pick on people, do each other's hair, listen to music.",148
talk about people.,150
"a lot, sometimes they pick on miranda",151
talk behind others backs,153
gossip,154
talk about our families or boys or just play around,155
mess around. go out outside to the outside court and just talk about stuff.,156
"play basketball, play videogames, and just chill out",158
"play video games, hanging out or having fun",159
"they just hang out in their room together, they're in the same room, talk",160
talk,161
they talk about stuff i like to do,162
"we talk and we play age of empire, we go outside and play sometimes, and we watch tv together",163
play with each other and also watch josh and james play yugioh!,164
"we just talk about things, rap",171
"throw the football, play basketball, and that's about it",172
"ride bikes, play basketball, play card games, whatever we can find to do",174
we go outside and shoot basketball or play soccer,175
"talk about when we was at home and stuff like that, school",176
talk about the people they are mad at.  probably try to get other people not to like whomever they are mad at.,179
"listen to the radio and hang out and watch tv and talk, play basketball, thats about it.",180
"watch tv, play cards, play basketball, talk",182
"talk, play around",183
"play game cube, play basketball, football, play spades, dominoes, monopoly, checkers, chess, soccer, watch movies",184
don't want to answer,186
"play board games, play cards, watch tv, play game cube",188
"play uno, listen to the radio, talk about how school was, how aileen's day was at camp, things teachers have said, different little things.",190
"talk about people,gossip,antaganize me into trying to fight them. set me up by putting words into my mouth. tell staff i hit them or started with them when really its vise versa.",192
we talk about our school and the  dudes that we find that are either attractive or the ones that we are fond of.,194
"talk together, play games",197
"play cards, play basketball",199
"joke, play, laugh",202
"sit and hang around having conversations talking about how school went and if somebody got in a fight they talk about it, stuff that went on in the day that they think is interesting.  talk about cars and trucks and girls and basketball, cause all of us like that.",204
"we tlak, play sports, and we'll ask if we can go outside and run around the block, and play fooseball and xbox, play music, get on the computer, and we'll go outside and throw a baseball at each other and go down to the court and play kickball and go to the gym and play dodgeball.",205
"everything, play games, hang out and talk",206
"come in here and play the xbox 360 and go outside, ride bikes, and play kickball",207
"play basketball, football, talk, play board games, just do normal stuff",209
